,user,attachments,pdf,working_day_emails,address_count,weekend_emails,working_day_files,weekend_files,tld_li,tld_gov,tld_eu,black_domains,weekend_device,email_size,tld_com,jpg,recipients,zip,doc,exe,weekday_device,email_size,role,functional_unit,department,team,insider
0,LAP0338,0.3487745538265598,0.0,0.37239905282602503,0.0,0.1111111111111111,0.0,0.0,0.0,0.06459392057218144,0.0,0.0,0.0,0.4343880871783661,0.05801441911359621,0.0,0.5005318230572344,0.0,0.0,0.0,0.0,0.4343880871783661,6,5,3,1,0
1,MOH0273,0.7000000000000001,0.760023307621255,0.05776383740455597,0.0,0.4444444444444444,0.7666666666666666,0.8461538461538463,0.0,0.0,0.0,0.0,0.7272727272727273,0.5396069031991022,0.22840809115147698,0.5835411471321695,0.6272225566927547,0.39068994181213634,0.7515448982781586,0.1172069825436409,0.6363636363636364,0.5396069031991022,29,2,3,4,0
2,HVB0037,0.0,0.0,0.2267399140612252,0.014285714285714287,0.7222222222222222,0.0,0.0,0.0,0.2646223435586036,0.0,0.1479101414839615,0.0,0.417113443114987,0.3587853094345943,0.0,0.5777156275560014,0.0,0.0,0.0,0.0,0.417113443114987,25,1,6,1,0
3,NWK0215,0.3983516483516483,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.14185331576635923,0.32941176470588235,0.15774050369062503,0.0,0.38074362500077186,0.3667818911100214,0.0,0.551582523436827,0.0,0.0,0.0,0.0,0.38074362500077186,25,1,6,1,0
4,LRR0148,0.8586436325434809,0.10903456048084148,0.05714591225711842,0.0,0.7222222222222222,0.1,0.11538461538461539,0.0,0.0,0.0,0.11772170797252908,0.18181818181818182,0.3995405803137668,0.30878872817756264,0.109375,0.29531819415146465,0.0625,0.11484155753040223,0.01171875,0.18181818181818182,0.3995405803137668,14,4,3,-1,0
5,AJR0319,0.40571817562968,0.0,0.0,0.0,0.7777777777777777,0.0,0.0,0.0,0.18961012636901964,0.30000000000000004,0.0,0.0,0.3704259338748983,0.39052284327006537,0.0,0.6106762994180208,0.0,0.0,0.0,0.0,0.3704259338748983,1,5,2,1,0
6,HSB0196,0.8084880636604774,0.783062991814623,0.05591103507271172,0.0,0.5555555555555556,0.8,0.9230769230769231,0.0,0.10191981931112366,0.21515151515151515,0.10532994923857865,0.6363636363636364,0.5367326658454825,0.2702237159350909,0.6452631578947368,0.510257634578255,0.4105263157894737,0.7918546600364333,0.16,0.7272727272727273,0.5367326658454825,21,6,1,-1,0
7,JDC0030,0.3434065934065934,0.17768320838840235,0.0,0.0,0.5555555555555556,0.16666666666666666,0.19230769230769232,0.0,0.07430411778237866,0.0,0.24138113367174271,0.09090909090909091,0.457112717468549,0.2886439986635302,0.1240875912408759,0.5161262578481116,0.09245742092457421,0.16961072835653757,0.0437956204379562,0.09090909090909091,0.457112717468549,5,1,6,-1,0
8,MHH0180,0.0,0.0,0.057122729331253466,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3226435291907155,0.05522633452998339,0.0,0.5643467790487655,0.0,0.0,0.0,0.0,0.3226435291907155,6,5,3,1,0
9,SSJ0784,0.21362077413032826,0.0,0.3970867598894414,0.0,0.1111111111111111,0.0,0.0,0.0,0.07078785816129474,0.0,0.1421954314720812,0.0,0.38651972496683484,0.05700284832041112,0.0,0.5638362222071667,0.0,0.0,0.0,0.0,0.38651972496683484,6,5,3,4,0
